id,term,translation
1,abattoir,aboa kum fie
2,aboiteau,nsu ban ɔkwan
3,acaricide,nkramamoadi kum aduro
4,acreage,asase dodoɔ
5,acre-foot,eka-nan susudua
6,adjuvant,nkabom aduro
7,aerial seeding,wim aba nnua
8,aeroponics,wim mfudeɛ
9,agrarian system,kuadwuma nhyehyɛeɛ
10,agrarianism,kuadwuma gyedie
11,agribusiness,kuadwuma aguadie
12,agricultural aircraft,kuadwuma wimhyɛn
13,agricultural cooperative,kuadwuma nkabom kuo
14,agricultural cycle,kuadwuma mmerɛ nhyehyɛeɛ
15,agricultural economics,kuadwuma sikasɛm
16,agricultural engineering,kuadwuma mfidwuma
17,agricultural extension,kuadwuma nkyerɛkyerɛ
18,agricultural fencing,kuadwuma aban
19,agricultural land,kuadwuma asase
20,agricultural machinery,kuadwuma mfiri
21,agricultural productivity,kuadwuma nsodeɛ
22,agricultural recession,kuadwuma asehweɛ
23,agricultural science,kuadwuma nimdeɛ
24,agriculture,kuadwuma
25,agriculturist,okuafoɔ
26,agritourism,kuadwuma nsrahwɛ
27,agrivoltaics,kuadwuma anyinam ahoɔden
28,agrobiology,kuadwuma abɔdeɛ mu nimdeɛ
29,agroecology,kuadwuma tebea ho nimdeɛ
30,agroecosystem,kuadwuma tebea nhyehyɛeɛ
31,agroforestry,kuadwuma ne kwaeɛ
32,agrology,asase mu nimdeɛ
33,agronomy,mfudeɛ ho nimdeɛ
34,algaculture,nkyene yɛ
35,animal engine,aboa mfiri
36,animal feed,aboa aduane
37,animal unit,aboa dodow
38,animal-free agriculture,aboa nni kuadwuma
39,apiculture,nwowa yɛ
40,aquaculture,nsu mu mmoa yɛ
41,aquaponics,nsu ne mpataa yɛ
42,arable land,asase a wɔtumi dua
43,arboricide,nnua kum aduro
44,artificial daylight supplementation,awia hann nkabom
45,artificial selection,nsa paw
46,assarting,kwaeɛ yi
47,backfat,akyi srade
48,backgrounding,mmoa yɛneyɛ
49,bale,ɛho akyekyere
50,bale wrapper,ɛho akyekyere nkataho
51,barbed wire,ntweaban hankare
52,barn,mmoa dan
53,barnyard,mmoa dan adiwo
54,barrow,prako a wɔayi ne mma
55,bearing acres,eka a ɛsow aba
56,beef cattle,nantwi a wɔde yɛ nam
57,beefalo,nantwi ne efuo mmoawa
58,beekeeping,nwowa hwɛ
59,biennial bearing,mfeɛ mmienu mu aba
60,billy goat,paprɛko
61,bin burn,aboa aduan hyeɛ
62,biochar,abɔdeɛ bidie
63,biodynamic agriculture,abɔdeɛ ahoɔden kuadwuma
64,bioeffector,abɔdeɛ nsakraeɛ
65,biofertilizer,abɔdeɛ asase ahoɔdennuro
66,biofortification,abɔdeɛ ahoɔdennuro nkabom
67,biofuel,abɔdeɛ fango
68,bioinoculant,abɔdeɛ mmoawa de hyɛ
69,biological farming,abɔdeɛ kuadwuma
70,biosaline agriculture,nkyene kuadwuma
71,biosolarization,owia so abɔdeɛ kum
72,bioturbation,abɔdeɛ asase wosow
73,blood meal,mogya aduane
74,boar,prako
75,bobby calf,nantwi ba ketewa
76,boll,kotoku dabere
77,bolting,ntɛm nhwiren
78,bone meal,nnompe aduane
79,border irrigation,ahye so nsu gugu
80,bran,aburoo ho nwini
81,branding,gyinaberɛ hyɛ
82,branding iron,dadeɛ a wɔde hyɛ gyinaberɛ
83,breadbasket,aduane bea
84,broadacre,asase kɛseɛ
85,broadcast seeding,aba pete
86,broadfork,aforɔ kɛseɛ
87,broiler,akokɔ a wɔde yɛ nam
88,brood,akokɔ mma
89,brooding,akokɔ mma hwɛ
90,brown manure,mono sumina
91,browsing,nhaban didi
92,Bt crop,Bt mfudeɛ
93,buck,aponkye anini
94,bucking,ntweaban mu didi
95,bull,nantwinini
96,bullock,nantwi a wɔayi ne mma
97,bumper crop,otwa pii
98,bushel,busɛl susudua
99,calf,nantwi ba
100,calf hutch,nantwi ba dan ketewa
101,calving,nantwi ba wo
102,candling,nkesua mu hwɛ
103,cane mill,asɛɛ yam fie
104,capon,akokɔnini a wɔayi ne mma
105,care farming,hwɛ kuadwuma
106,carryover,nkaeɛ
107,carton,kaatɔn
108,cash crop,sika otwa
109,castration,mma yi
110,catalo,nantwi ne efuo mmoawa
111,catch crop,ntɛm otwa
112,cattle,anantwie
113,cattle cycle,nantwi mmerɛ nhyehyɛeɛ
114,cattle drive,nantwi ka kɔ
115,cattle prod,nantwi kanea
